CRN,SUBJ,CRSE,SECTION,TITLE,HOURS,ENRL,MAX_ENRL,START_TIME,END_TIME,DAYS,BLDG,ROOM,INSTRUCTOR,MEETING_TYPE,MEETING_CATEGORY
71367,CSE,148,  E,Business Computing,3,30,28,1430,1550,MW,BEN,024,"Ucci, Frances",CLAS,01
71382,CSE,148, FF,Business Computing,3,30,28,1600,1720,TR,BEN,024,"Parece, Julianne",CLAS,01
71609,CSE,151,M A,"Computers, Comp Sci & Society",3,23,24,1130,1250,TR,JHN,015,"Donohue, Catherine",CLAS,01
71715,CSE,174,H A,Fundmntls-Progrming&Prob Solvg,3,20,24,1800,2155,M,MOS,300,"Ghosh, Krishnendu",CLAS,01
75061,CSE,174,H B,Fundmntls-Progrming&Prob Solvg,3,24,26,1300,1450,MW,MOS,319,"Ghosh, Krishnendu",CLAS,01
78918,CSE,262,  C,"Tech,Ethics & Global Society",3,26,16,1430,1550,TR,BEN,204,"Cross, Valerie",CLAS,01
71335,CSE,271,  B,Object-Oriented Programming,3,28,28,1000,1150,TR,BEN,002,"Stahr, Michael",CLAS,01
74688,CSE,274,  B,Data Abstractions & Structures,3,28,26,1000,1120,T,BEN,207,"Duraisamy, Prakash",CLAS,01
74688,CSE,274,  B,Data Abstractions & Structures,3,28,26,1000,1120,R,BEN,006,"Duraisamy, Prakash",CLAS,02
78859,CSE,278,  C,Computer Architecture,3,28,24,1600,1750,TR,BEN,010,"Alomari, Hakam",CLAS,01
71346,CSE,443,  A,High Performance Computing,3,18,19,1430,1550,WF,BEN,002,"Rao, Dhananjai",CLAS,01
71351,CSE,471,  A,Simulation,3,15,20,0830,0950,MW,BEN,009,"Zmuda, Michael",CLAS,01
80524,CSE,543,  B,High Performance Computing,3,6,3,1600,1720,WF,BEN,002,"Rao, Dhananjai",CLAS,01
71356,CSE,571,  A,Simulation,3,6,8,0830,0950,MW,BEN,009,"Zmuda, Michael",CLAS,01
76310,CSE,102,  A,Computing and Engineering,3,36,36,0800,0950,F,BEN,016,"Gelfond, Gregory",CLAS,02
76310,CSE,102,  A,Computing and Engineering,3,36,36,0830,0925,MW,BEN,102,"Gelfond, Gregory",CLAS,01
76315,CSE,102,  C,Computing and Engineering,3,36,36,0800,0950,F,BEN,010,"Gelfond, Gregory",CLAS,02
76315,CSE,102,  C,Computing and Engineering,3,36,36,0830,0925,MW,BEN,102,"Gelfond, Gregory",CLAS,01
71329,CSE,174,  D,Fundmntls-Progrming&Prob Solvg,3,26,20,1000,1150,F,BEN,001,"Krumpe, Norman",CLAS,02
71329,CSE,174,  D,Fundmntls-Progrming&Prob Solvg,3,26,20,1300,1355,MW,KRG,319,"Krumpe, Norman",CLAS,01
77220,CSE,253P,  A,Programming Problems,1 - 2,1,12,,,,,,"Zmuda, Michael",CLAS,01
79588,CSE,274,  C,Data Abstractions & Structures,3,28,26,1130,1250,T,BEN,207,"Duraisamy, Prakash",CLAS,01
79588,CSE,274,  C,Data Abstractions & Structures,3,28,26,1130,1250,R,BEN,006,"Duraisamy, Prakash",CLAS,02
80488,CSE,102,  E,Computing and Engineering,3,28,26,0830,0925,MW,BEN,102,"Gelfond, Gregory",CLAS,01
80488,CSE,102,  E,Computing and Engineering,3,28,26,1600,1750,R,BEN,002,"Gelfond, Gregory",CLAS,02
71366,CSE,148,  D,Business Computing,3,30,28,1300,1420,MW,BEN,024,"Ucci, Frances",CLAS,01
71339,CSE,274,  A,Data Abstractions & Structures,3,28,26,0830,0950,T,BEN,207,"Duraisamy, Prakash",CLAS,01
71339,CSE,274,  A,Data Abstractions & Structures,3,28,26,0830,0950,R,BEN,006,"Duraisamy, Prakash",CLAS,02
71340,CSE,278,  A,Computer Architecture,3,32,24,0800,0950,TR,BEN,010,"Alomari, Hakam",CLAS,01
74689,CSE,278,  B,Computer Architecture,3,35,24,1400,1550,TR,BEN,010,"Alomari, Hakam",CLAS,01
77869,CSE,443,  B,High Performance Computing,3,19,25,1600,1720,WF,BEN,002,"Rao, Dhananjai",CLAS,01
71347,CSE,464,  A,Algorithms,3,39,22,1130,1250,MW,BEN,207,"Gelfond, Gregory",CLAS,01
76313,CSE,102,  B,Computing and Engineering,3,35,36,0830,0925,MW,BEN,102,"Gelfond, Gregory",CLAS,01
76313,CSE,102,  B,Computing and Engineering,3,35,36,1000,1150,F,BEN,016,"Gelfond, Gregory",CLAS,02
76317,CSE,102,  D,Computing and Engineering,3,33,36,0830,0925,MW,BEN,102,"Gelfond, Gregory",CLAS,01
76317,CSE,102,  D,Computing and Engineering,3,33,36,1000,1150,F,BEN,010,"Gelfond, Gregory",CLAS,02
71364,CSE,148,  C,Business Computing,3,30,28,1130,1250,MW,BEN,024,"Ucci, Frances",CLAS,01
71327,CSE,174,  B,Fundmntls-Progrming&Prob Solvg,3,28,20,1130,1225,MW,KRG,319,"Krumpe, Norman",CLAS,01
71327,CSE,174,  B,Fundmntls-Progrming&Prob Solvg,3,28,20,1200,1350,F,BEN,006,"Krumpe, Norman",CLAS,02
75422,CSE,320,  A,Professional Practice,0,1,0,,,,,,"Krumpe, Norman",CLAS,01
71362,CSE,148,  A,Business Computing,3,30,28,0830,0950,MW,BEN,024,"Foster, Drew",CLAS,01
71363,CSE,148,  B,Business Computing,3,30,28,1000,1120,MW,BEN,024,"Foster, Drew",CLAS,01
71379,CSE,148, CC,Business Computing,3,30,28,1130,1250,TR,BEN,024,"Cruez, Rebecca",CLAS,01
71385,CSE,148, LL,Business Computing,3,30,28,1300,1420,TR,BEN,001,"Shukla, Juhi",CLAS,01
76891,CSE,148,  N,Business Computing,3,30,28,1600,1720,MW,BEN,001,"Ledford, Carolyn",CLAS,01
71372,CSE,148,  L,Business Computing,3,30,28,1300,1420,MW,BEN,001,"Ledford, Carolyn",CLAS,01
