TECHNICAL WRITING,3,ENG 313,3
ECON,3,ECO 201,3,ECO 202,3
SPEACH,3,STC 135,3,STC 231,3
CALC,5,MTH 151,5
DISCRETE MATH,3,MTH 231,3
CALC 2,4,MTH 231,4,MTH 249,5
STATS,3,STA 3O1,3,STA 401,3,STA 501,313
PHYSICS,10,PHY 191,5,PHY 192,5
CHEMISTRY,10,CHM 141,3,CHM 142,3,CHM 144,2,CHM 145,201
BIOLOGY,8,BIO 115,4,BIO 116,4
CES,1,CEC 101,1
INTRO COMP ENGINEERING,3,CSE 102,3,ECE 102,3
IT PROJECT MANAGEMENT,3,ISA 406,3
PROGRAMMING AND PROBLEM SOLVING,3,CSE 174,3
INTRO SOFTWARE ENGINEERING,3,CSE 201,3
SOFTWARE CONSTRUCTION,3,CSE 211,3
HUMAN COMPUTER INTERACTION,3,CSE 212,3
TECH ETHICS GLOBAL SOCIETY,3,CSE 262,3,CIT 262,3
OO PROGRAMMING,3,CSE 271,3
DATA STRUCTURES,3,CSE 274,3
ARCHITECTURE AND ORGANIZATION,3,CSE 278,3,ECE 289,3
ARCHITECTURE AND DESIGN,3,CSE 311,3
QUALITY ASSURANCE AND TESTING,3,CSE 321,3
SOFTWARE REQUIREMENTS,3,CSE 322,3
DATABASE SYSTEMS,3,CSE 385,3
SENIOR DESIGN PROJECT,2,CSE 448,2
SENIOR DESIGN PROJECT,2,CSE 449,2
COMMUNICATION AND NETWORKS OR OPERATING SYSTEMS,3,CSE 283,3,CSE 381,3
