CRN,SUBJ,CRSE,SECTION,TITLE,HOURS,ENRL,MAX_ENRL,START_TIME,END_TIME,DAYS,BLDG,ROOM,INSTRUCTOR
59380,CSE,148,  A,Business Computing,3,30,24,830,950,MW,BEN,24,"Henebry, Brian"
59381,CSE,148,  B,Business Computing,3,30,24,1000,1120,MW,BEN,24,"Foster, Drew"
59382,CSE,148,  C,Business Computing,3,30,24,1130,1250,MW,BEN,24,"Ucci, Frances"
59383,CSE,148,  D,Business Computing,3,29,24,1300,1420,MW,BEN,24,"Ucci, Frances"
59384,CSE,148,  E,Business Computing,3,30,24,1430,1550,MW,BEN,24,"Ucci, Frances"
59385,CSE,148,  F,Business Computing,3,30,24,1600,1720,MW,BEN,24,"Beck, Michael"
59387,CSE,148,  K,Business Computing,3,30,24,1130,1250,MW,BEN,1,"Luo, Yongfeng"
59388,CSE,148,  L,Business Computing,3,29,24,1300,1420,MW,BEN,1,"Ledford, Carolyn"
59391,CSE,148, AA,Business Computing,3,30,24,830,950,TR,BEN,24,"Toaddy, Jeffrey"
59393,CSE,148, BB,Business Computing,3,30,23,1000,1120,TR,BEN,24,"Cruez, Rebecca"
59394,CSE,148, CC,Business Computing,3,30,24,1130,1250,TR,BEN,24,"Cruez, Rebecca"
59395,CSE,148, DD,Business Computing,3,30,25,1300,1420,TR,BEN,24,"Cruez, Rebecca"
59399,CSE,148, KK,Business Computing,3,30,24,1130,1250,TR,BEN,1,"Shukla, Juhi"
59400,CSE,148, LL,Business Computing,3,30,24,1300,1420,TR,BEN,1,"Shukla, Juhi"
59489,CSE,148,M A,Business Computing,3,11,23,1730,1850,MW,GRD,2,"Seibold, Pam"
59519,CSE,148,H A,Business Computing,3,18,24,1300,1420,TR,MOS,322,"Seibold, Pam"
60395,CSE,148,  M,Business Computing,3,30,24,1430,1550,MW,BEN,1,"Ledford, Carolyn"
62858,CSE,148, EE,Business Computing,3,30,24,1430,1550,TR,BEN,24,"Kinne, Michael"
62859,CSE,148, FF,Business Computing,3,30,24,1600,1720,TR,BEN,24,"Drake, Duane"
64379,CSE,148,  N,Business Computing,3,30,24,1600,1720,MW,BEN,1,"Ledford, Carolyn"
65808,CSE,148,  G,Business Computing,3,30,24,1800,1920,MW,BEN,24,"Weber, Matthew"
65832,CSE,148, GG,Business Computing,3,30,24,1800,1920,TR,BEN,24,"Gopalasamy, Karthikeyan"
65834,CSE,148, NN,Business Computing,3,30,24,1600,1720,TR,BEN,1,"Tepe, Dirk"
66480,CSE,148,H B,Business Computing,3,13,24,1600,1720,TR,MOS,322,"Seibold, Pam"
59490,CSE,151,M A,"Computers, Comp Sci & Society",3,16,24,1900,2150,W,JHN,15,"Donohue, Catherine"
59522,CSE,151,H B,"Computers, Comp Sci & Society",3,21,24,,,,WEB,,"Murphy, Marianne"
59526,CSE,151,H C,"Computers, Comp Sci & Society",3,12,24,1000,1120,TR,PHE,204,"Donohue, Catherine"
59914,CSE,151,M B,"Computers, Comp Sci & Society",3,21,25,,,,WEB,,"Murphy, Marianne"
59988,CSE,151,H A,"Computers, Comp Sci & Society",3,14,24,1130,1250,TR,MOS,320,"Donohue, Catherine"
68387,CSE,151,  A,"Computers, Comp Sci & Society",3,17,24,1800,1920,TR,BEN,9,"Ferrenberg, Alan"
68387,CSE,151,  A,"Computers, Comp Sci & Society",3,17,24,1800,1920,TR,BEN,2,"Ferrenberg, Alan"
59406,CSE,163,  A,Intro-Computer Concepts & Prog,3,29,28,1800,1950,TR,BEN,1,"Magimai Sagaya, Premila"
59495,CSE,163,M A,Intro-Computer Concepts & Prog,3,19,24,1100,1250,MW,JHN,15,"Seibold, Pam"
59527,CSE,163,H A,Intro-Computer Concepts & Prog,3,16,24,1100,1250,MW,MOS,320,"Ku, Kyoseong"
59529,CSE,163,H B,Intro-Computer Concepts & Prog,3,14,24,1500,1855,M,MOS,322,"Johnson, Kurt"
59407,CSE,174,  A,Fundmntls-Progrming&Prob Solvg,3,38,34,800,950,R,BEN,16,"Kiper, James"
59407,CSE,174,  A,Fundmntls-Progrming&Prob Solvg,3,38,34,1000,1055,MW,BEN,102,"Kiper, James"
59408,CSE,174,  B,Fundmntls-Progrming&Prob Solvg,3,34,34,1000,1055,MW,BEN,102,"Kiper, James"
59408,CSE,174,  B,Fundmntls-Progrming&Prob Solvg,3,34,34,1000,1150,R,BEN,10,"Kiper, James"
59410,CSE,174,  D,Fundmntls-Progrming&Prob Solvg,3,36,34,1000,1055,MW,BEN,102,"Kiper, James"
59410,CSE,174,  D,Fundmntls-Progrming&Prob Solvg,3,36,34,1000,1150,F,BEN,10,"Kiper, James"
59411,CSE,174,  E,Fundmntls-Progrming&Prob Solvg,3,36,34,1200,1350,R,BEN,10,"Krumpe, Norman"
59411,CSE,174,  E,Fundmntls-Progrming&Prob Solvg,3,36,34,1300,1355,MW,ART,100,"Krumpe, Norman"
59412,CSE,174,  F,Fundmntls-Progrming&Prob Solvg,3,28,27,1300,1355,MW,ART,100,"Krumpe, Norman"
59412,CSE,174,  F,Fundmntls-Progrming&Prob Solvg,3,28,27,1400,1550,R,BEN,6,"Krumpe, Norman"
59530,CSE,174,H A,Fundmntls-Progrming&Prob Solvg,3,21,24,1300,1450,TR,MOS,319,"Courte, Jill"
59531,CSE,174,H B,Fundmntls-Progrming&Prob Solvg,3,27,30,1900,2255,M,MOS,322,"Johnson, Kurt"
60938,CSE,174,M A,Fundmntls-Progrming&Prob Solvg,3,17,20,1300,1450,TR,GRD,2,"Luczaj, Jerome"
63335,CSE,174,  G,Fundmntls-Progrming&Prob Solvg,3,28,29,1200,1350,F,BEN,1,"Krumpe, Norman"
63335,CSE,174,  G,Fundmntls-Progrming&Prob Solvg,3,28,29,1300,1355,MW,ART,100,"Krumpe, Norman"
64235,CSE,174,  H,Fundmntls-Progrming&Prob Solvg,3,28,29,1300,1355,MW,ART,100,"Krumpe, Norman"
